Name,Phone number,address
Jai Shri Krishna,"""+(91)-9213813519""","Shop No.-09, Main IGNOU Road, Saiyad Ul Ajaib, Delhi - 110030, Opposite Anupam Appartment."
SGF - Spice Grill Flame,"""+(91)-9005565966""","Shop Number 54, Gurgaon Sector 31, Gurgaon - 122001, Near Bank Of Baroda, Huda Main Market"
Raj Shahi Restaurant,"""+(91)-0124-4072275""","Old Railway Road, Laxman Vihar, Gurgaon - 122006, Opp Sneh Hospital, Sector 3A, Gurugram"
Shiv Shankar Restaurant,"""+(91)-7042847243""","Shop Number-115, Paschim Vihar, Delhi - 110063, Near A 6 Block,LSC DDA Market"
Wah Ji Wah Restaurant,"""+(91)-9910160947""","Shop No.4, Village Dundahera, Old Delhi Gurgaon Road, Gurgaon Sector 21, Gurgaon - 122016, Village Dundahera"
Rasoi A Family Restaurant,"""+(91)-9718217994""","Plot No-15, Shop Number-1, Extension 1,Budh Bazar Road, Shalimar Garden, Sahibabad - 201005, Near Gate No-8"
Aashirwad Fine Dining Resta..,"""+(91)-7840001326""","E-10, Ground Floor, Main 100 Feet Road, Jyoti Nagar West, Delhi - 110032"
THE Veggie BITES,"""+(91)-8377803803""","B-304, Saraswati Vihar, Outer Ring Road, Pitampura, Delhi - 110034, Near C-Block Bus Stand"
Moms Kitchen,"""+(91)-9999605756""","U 8/43, DLF City Phase 3, Gurgaon - 122010, Metro Station Gate No. 2"
Sultanat Pure Veg Lounge & ..,"""07947218359""","31 B C, Ground Floor, Aditya Mega Mall, Karkardooma, Delhi - 110092, Near Crossriver Mall"
Bhai Sweets Restaurant,"""+(91)-129-2304950""","Scf-46, Faridabad Sector 3, Faridabad - 121004, Near Huda Market"
Moti Mahal Delux Tandoori T..,"""+(91)-9654740005""","1644 C, Thana Road, Najafgarh, Delhi - 110043"
Hum Sabki Rasoi,"""+(91)-11-65583218""","S-1/68, Tilak Nagar, Delhi - 110018, Near Old Mahavir Nagar, Near JMD Auto"
Rasoi Deliver,"""+(91)-9910025216""","Shop Number K- 4, Indirapuram, Ghaziabad - 201014, Near Windsor Street Market & SPS Complex"
Apna Dhaba,"""+(91)-11-25122134""","BE-335 A, Main Road, Hari Nagar, Delhi - 110064, Opposite Vikrant Enclave"
Bikaners Sweets Snacks And ..,"""+(91)-7065025032""","Shop No-25,26,27,Arcade-A, Princely Estate, Noida Sector 76, Noida - 201304, Opposite Silicon City Gate No -2"
Hari Om Bhojnalaya,"""+(91)-9990307360""","30/9, Main Road, Karawal Nagar, Delhi - 110094, Near Mangal Bazar & Gola Factory, Prem Nagar"
Amritsari Express,"""+(91)-8010009023""","Shop Number 28, Road Number 44, Rani Bagh, Delhi - 110034, Opposite Chunmun Mall"
Moti Mahal Delux,"""+(91)-011-33105741""","157, Ground Floor, Kapil Vihar, Pitampura, Delhi - 110034, Oppoiste  Metro Pillar No"
Veer ji Malai Chaap Wale,"""+(91)-9999902373""","Shop 3, Plot 5, Local Shopping Complex, Rishabh Vihar, Karkardooma, Karkardooma, Karkardooma, Delhi - 110092, Near Karkardooma Court"
Cross Town Restaurant,"""+(91)-9015213280""","Plot No-188, G T Road, Achheja, Noida - 203207, Near Hero Motors"
The Kulchas,"""+(91)-7303514747""","Plot Number A 71,  Shop Number 1, Kalkaji, Delhi - 110019, Opposite HDFC Bank, Double Story"
Gurdasmaan Punjabi Khana & ..,"""+(91)-9999402559""","Shope No-D-1/17, Rohini Sector 15, Delhi - 110089, Near Manav Chowk"
Aam Aadmi Ke Pakwaan,"""+(91)-8168300129""","No 21 Ub, Momos Point Gali, Kamla Nagar, Delhi - 110007, Near Jawahar Nagar"
The Food Lounge Restaurant,"""+(91)-9999123413""","Plot No 09, Patpar Ganj Road, Shivpuri, Delhi - 110051, Near Dominos"
Spice Grill Flame,"""+(91)-7834907102""","Shop No-73, Ground Floor, Vikas Marg, Laxmi Nagar, Delhi - 110092, Near Metro Pillar Number 50"
Food Plus,"""+(91)-11-22502065""","WA-141, Krishna Mandir Road, Shakarpur, Delhi - 110092, Near Krishna Mandir"
Petu Ram,"""+(91)-8860601360""","Plot No-400, Main Road Bawana, Pooth Khurd, Delhi - 110039, Near G R International School"
Madras Cafe,"""+(91)-9716407807""","C-30, Shop Number-6, Madhu Vihar-patparganj, Delhi - 110092, Near Nirvana Society"
Delhi 6,"""+(91)-9999407408""","WZ-54-A/3, Budhela Village-Vikaspuri, Delhi - 110018, Near Central Market"
Chaska Food Corner,"""+(91)-9811148161""","11820, Panchshell Park, Main Road, Delhi - 110053, Shahdara"
Friends Restaurant,"""+(91)-011-42430443""","27A, Rajender Nagar Market, Old Rajender Nagar, Delhi - 110060, Near Main Market, Opposite Syndicate Bank"
Break Time,"""+(91)-129-4175050""","3B-4,BP, Main Road, Faridabad NIT, Faridabad - 121001, Near Dav College"
Kuteer Restaurant,"""+(91)-9313996851""","Khasra Number 303/2, Delhi Road, Bawana, Delhi - 110039, Main Bus Stand"
Shri Hari Sharnam Restauran..,"""+(91)-11-23867593""","1490-91, Kashmere Gate, Delhi - 110006, Near Ritz Cinema"
Sanskriti Foods,"""+(91)-9891068519""","Shop Number 2, Noida Sector 51, Noida - 201307, Near Hoshiyarpur Red Light, Main Market, Near City Pride"
Sagar Ratna,"""+(91)-120-2986550""","Hall Number-5, Tower-E, Crossing Republik, Ghaziabad - 201016, Near Bank Of Baroda, Gaur Global Village"
Royal Restaurant,"""+(91)-11-23411338""","Shop Number-81, Connaught Place, Delhi - 110001, Municipal Market"
Kerala Dosa House,"""+(91)-129-4010179""","Shop Number 2350, 7/8 Dividing Road, Faridabad Sector 7a, Faridabad - 121006, Near Vodafone Mini Store"
Manwhar,"""+(91)-11-23848995""","Shop Number-5, GT Road, Kamla Nagar, Delhi - 110007, Roop Nagar"
Shree Banke Foods,"""+(91)-9136000234""","9/24, Shivpuri, Shivpuri-Chandar Nagar, Delhi - 110051, Near Labour Chowk"
Suganya Restaurant,"""+(91)-9811060436""","BA/38a, BA Block, Main Road, Janakpuri, Delhi - 110058, Near Chhoti Sabzi Mandi"
Mr Singhs Tandoori Hut,"""+(91)-129-4026600""","5d/110, Faridabad NIT, Faridabad - 121001, Opposite Bijli Ghar"
The Masala Trail (Ansal Pla..,"""+(91)-011-49093717""","B Block, 104,First Floor, Ansal Plaza Mall, Anshal Plaza Moll, Khel Gaon, Delhi - 110049, Nr-HUdko Place"
Chaudhary Restaurant,"""+(91)-129-2280295""","Shop No - 24, Faridabad Sector 15, Faridabad - 121007, Near Police Post"
Tiffynn,"""+(91)-9315114043""","Shop No.1, DDA Market, Vasundhara Enclave, Delhi - 110096, Nr.agrsaen College"
Radha Ki Rasoi,"""+(91)-9953143384""","Rzn-D-184, Paschim Enclave, Delhi - 110087, Near Peera Garhi Metro Station,Opposite Maiden Crown Banquet Hall"
Shudh Restaurant,"""+(91)-9999672266""","C-17,18 Basement, Vasundhara, Ghaziabad - 201012, Near Sector-15, State Bank Of India"
Ghanshyam Veshno Hotel,"""+(91)-7053079085""","Shop No 76 A, Railway Station Road, Ghanta Ghar, Ghaziabad - 201001, Opposite Jain Mandir, Choti Bazariya"
Annapurna Pure Veg,"""+(91)-9999938600""","3/C/185, Faridabad Nit, Faridabad - 121001, Near Police Post Number 3"
Captain Food Factory,"""+(91)-9911583555""","1620-B/2, Thana Road, Telephone Exchange Street, Najafgarh, Delhi - 110043, Opposite Hdfc Bank"
Shree Ratans A Pure Veg Fin..,"""+(91)-11-27283030""","U-59, Lampur Road, Narela, Delhi - 110040, Near Under Pass/ Railway Station & Bus Terminal"
Choudhary Dhaba,"""+(91)-7065464732""","Sector 132 Rohillapur, Noida Sector 132, Noida - 201304, Main Tomar Market, Near Step By Step School"
Choudhary Dhaba,"""+(91)-8700684672""","Shop No-1 & 2, Noida Sector 132, Noida - 201304, Opposite Step By Step School"
Balaji Restaurant,"""+(91)-9818641962""","Krishna Park, Devli Road, Sangam Vihar, Delhi - 110044"
Sankalp Restaurant,"""+(91)-9811216447""","P- 15, Connaught Place, Delhi - 110001, Near Central"
Punjabi Zaika,"""+(91)-11-64004802""","1/5060 Buliding No., Desh Bandhu Gupta Road, Karol Bagh, Delhi - 110005, Near Khalsa College,Sant Nagar"
Shudh Vaishno Hotel,"""+(91)-11-45095200""","T- 32,33,34, Karampura, Delhi - 110015, Super Market,Opposite Milan Cinema,New Moti Nagar"
Radha Swami Vaishno Dhaba,"""+(91)-9250835166""","C 23, Uttam Nagar, Delhi - 110059, Near East Opposite Pali Factory"
Shri Krishna Dhaba,"""+(91)-011-28716748""","26B/12 , Desh Band Gupta Road , Anand Parvath, Karol Bagh, Delhi - 110005, Near Karol Bagh , New Delhi"
Gopi Vaishno Dhaba,"""+(91)-9971029036""","Plot No 619/7, Main Road, Chattarpur, Delhi - 110074, Truck Market, Opposite Tivoli Garden"
Bhola Dhaba.,"""+(91)-9810913747""","Shop Number-1, Hospital Road, Bhogal, Delhi - 110014, Near Guru Nanak Market,Jangpura."
New Utsav Rasoi,"""+(91)-9999469828""","B - 118, Shiv Mandir Road, Swaroop Nagar, Delhi - 110042, Near Shiv Mandir"
Bollywood Masala,"""+(91)-11-64647999""","E-4/7, Krishna Nagar, Delhi - 110051, Near Goyal Nursing Home"
Sagar Ratna (DLF Place Mall..,"""+(91)-8700751733""","2nd Floor,Food Cout , Dlf Place Mall, Saket, Delhi - 110017"
Chacha Ka Dhaba,"""+(91)-8882999309""","Shop Number- AM 03, Ansal Commercial Complex, Main Road, Omega 1, Noida - 201310, Near Alpha Golf Link 1st, Near Evergreen Sweets"
Saini Foods,"""+(91)-9999679641""","Shop No-1,Kaushik Complex, Gurgaon Sector 17, Gurgaon - 122001, Near Discovery Wine Shop &  IFFCO Chowk"
Pandit Ji Amritsari Kulcha ..,"""+(91)-9899697499""","RU- 22, Pitampura, Delhi - 110034, Opposite Power House, New Delhi"
Sagar Rathnam Restaurants P..,"""+(91)-11-23845234""","3F, Ground Floor, Kamla Nagar, Delhi - 110007, Near Bada Gol Chakkar"
The Brijwasi Restaurant,"""+(91)-011-23986090""","Shop Number-379, Main Road, Chandni Chowk, Delhi - 110006, Near Bikanerwala"
New Family Kailash Bhojnaly..,"""+(91)-9717859722""","A-10 /, Nasirpur Fatak Road, Ashok Nagar Ghaziabad, Ghaziabad - 201001, Near Holichild School"
Dosa Junction,"""+(91)-9717494200""","Surajkund Road, Surajkund, Faridabad - 121009, Near Eros Garden, Near 1st Indian Oil Petrol Pump, Charmswood Village"
Soni Bhojnalaya,"""+(91)-11-23981331""","161, Kuncha Ghasi Ram, Fatehpuri, Delhi - 110006, Near Fatehpuri Maszid"
Satyam Vegetarian,"""+(91)-011-69996666""","93, Sri Aurobindo Marg, Adchini-sarvodaya Enclave, Delhi - 110017, Near IIT Campus"
Om Bhojnalaya,"""+(91)-9718182544""","Plot Number 12, Beta 1-greater Noida, Noida - 201310, Near Rampur Market, Opposite Authority, Rampur Jagir"
Nbc Restaurant,"""+(91)-9540590213""","Shop No.2 , Building Number 1644/B, Thanna Road, Najafgarh, Delhi - 110043, Near Vikas Hospital , B Block"
Satguru Dhaba,"""+(91)-011-25730853""","Shop No-18/52,Grd Flr, East Patel Nagar, Delhi - 110008, Nr Neel Kanth Mandir"
Bunty Chaap Tandoori Juncti..,"""+(91)-9773906647""","Shop No-7 , Second Floor, Galleria Market-1, Crossing Republik, Ghaziabad - 201016, Near Golf Course"
Southern Treat Pure Veg Fam..,"""+(91)-120-4270372""","Shop Number-B1/31, Noida Sector 50, Noida - 201307, Near Noida City Centre, Central Market"
Rajesh Food Point (Pure Veg..,"""+(91)-9211778706""","B-4 Syndicate Enclave, Dabri, Delhi - 110045, Opp.pankha Road"
Shree Shyam Rasoi And Cater..,"""+(91)-9899303302""","Shop Number 8, Dharam Colony, Palam Vihar Road, Gurgaon - 122017, Opposite Power House"
A Dilli Restaurant,"""+(91)-9910253337""","A-6, Loni, Ghaziabad - 201102, Near Ram Park, Near Saharanpur Road"
Chamunda Cafe,"""+(91)-11-26916823""","Shop No-22, Okhla Industrial Area Phase 3, Delhi - 110020, Near Moser Bear 43b"
Sagar Ratna,"""+(91)-120-4212355""","R1 , 2 & 4 , Gulmohar Shopping Complex , Sector 15 C, Noida Sector 15, Noida - 201301"
Gupta Sweet Corner,"""+(91)-11-23363954""","129, Bangla Sahib Marg, Connaught Place, Delhi - 110001, Near Gol Market"
Balji Rasoi,"""+(91)-9312041712""","House No-467, Madanpuri Gurgaon, Gurgaon - 122006, Opposite Gali No-4"
ASAP - As Spicy As Possible,"""+(91)-9331933162""","Shop No. 16, Garden Galleria Market, Noida Sector 46, Noida - 201303"
Mr-Nitin,"""+(91)-11-61495119""","Shop Number-27/94 B, Shahdara, Delhi - 110032, Near Vishwas Nagar ,  Jwala Nagar , Tikona Park"
Dhaba Nh-10,"""+(91)-8285595595""","E -53 PHASE -2 First FLOOR, MAIN ROHTAK ROAD, Nangloi, Delhi - 110041, OPP METRO PILLAR NO-417"
Sardar Ji Malai Chap Wale,"""+(91)-9355307072""","Shop Number 24, Crossing Republik, Ghaziabad - 201016, Near Panchsheel Well Bazaar, Near By Airtel Office"
Bal Gopal Pure Vegetarian,"""+(91)-11-25971078""","Shop Number 46, Rajouri Garden, Delhi - 110027, Near Ansal Plaza Building,Dda Market"
Wah Ji Wah Restaurant,"""+(91)-129-33105728""","Shop Number 2, Main Surajkund Road, Faridabad Sector 41, Faridabad - 121010, Near Sector 41-42, Opposite Omaxe Forest Spa"
Anna South Indian Fast Food,"""+(91)-9811747746""","Shop Number-8, Ground Floor, Main Road, Lajpat Nagar 1, Delhi - 110024, Opposite Anand Chole Bhature, Main Krishna Market"
Kumar Punjabi Dhaba,"""+(91)-9718774620""","Site-1/608, Vikaspuri Road, Vikaspuri, Delhi - 110018, Near Vikaspuri Mod"
A One Family Restaurant,"""+(91)-9953329741""","B 41, Sector 1 Complex, Imt Manesar, Gurgaon - 122052, Near Savoy Suites"
Gulati Dhaba,"""+(91)-9811398212""","Wz-62/D, Janakpuri, Delhi - 110058, Passangi Pur Market, Near Durga Mandir"
Brijwasi Bhoj,"""+(91)-11-23971376""","Shop Number - 376, Main Road, Chandni Chowk, Delhi - 110006, Outside Kuncha Ghasi Ram"
Vanakkam Madras Cafe,"""+(91)-9868020232""","Shop No 1, H Block, Vikaspuri, Delhi - 110018, DDA Market, Near K R Mangalam School"
Peturams Pure Veg,"""+(91)-9873944772""","Add : Plot Number 180/5, Main Road, Vasundhara Sector 16, Ghaziabad - 201012, Near Agrasen Chowk"
Sonu Shuddh Bhojnalaya,"""+(91)-9910110694""","B-1/ 1b, Janta Flats, Mayur Vihar Phase 3, Delhi - 110096, Gd Colony, Main Market, Near Ryan International School"
Sehdev Saini Dhaba,"""+(91)-9213268190""","Saba Appartment, Main Dadri Road, Noida Sector 44, Noida - 201303, Near Village Chhelera, Near Sheetal Petrol Pump"
Asharam Foods,"""+(91)-11-41523612""","Shop Number-755, Chandni Chowk, Delhi - 110006, Near Katra Asharfi, Opposite Townhall"
Bikano Point,"""+(91)-8447828002""","Shop No-C-9/32, Rohini Sector 15, Delhi - 110089, Near Manav Chowk"
Aggarwal Sweets Corner,"""+(91)-011-45601816""","3/33, Double Storey, Shivaji Marg, Tilak Nagar, Delhi - 110018, Opposite Metro Station Gate No 2"
Sugandh Vegetarian Restaura..,"""+(91)-11-23273578""","4702/21, Ansari Road, Darya Ganj, Delhi - 110002, Near HDFC Bank"
Mainis Green Leaf,"""+(91)-011-66992588""","201-202 , Second Floor , Unity One Mall , CBD Ground, Shahdara, Delhi - 110032"
Rasam Kitchen Restaurant,"""+(91)-120-71565154""","D 33, Shyam Park Extension, Sahibabad - 201005, Near Diwakar Model School"
Wah Ji Wah Restaurant,"""+(91)-011-66992211""","B-23, New Krishna Park, Vikaspuri, Delhi - 110018, Near Janakpuri West Metro Station"
Cue Restaurant,"""+(91)-7678344864""","131, 1st Floor Mangalam Paradise Mall, Rohini Sector 3, Delhi - 110085, Near Kali Mata Mandir Deepali Chaowk"
Shree Ram Palace,"""+(91)-011-29250303""","Shop Number-7,, K Pocket, Sheikh Sarai 2, Delhi - 110017, Near Nera Transport Authority,Lsc Market"
Gopalaa Restaurant,"""+(91)-8459756336""","Shop Number- F- 24/69, Main Sector 6 & 7 Dividing Road, Rohini Sector 7, Delhi - 110085, Near Ayodhya Chowk"
PCC - Punjabi Chaap Corner,"""+(91)-11-65475557""","9, Community Center, Ashok Vihar Phase 2, Gurgaon - 122006, Opposite Satyawati College"
Madras Cafe,"""+(91)-011-66103950""","Shop Number-15-B/5, DDA MARKET, Rohini Sector 8, Delhi - 110085, Near Prestige Convent School"
Punjabi Jaika,"""+(91)-011-29813040""","C- 57, Central Market, Lajpat Nagar 2, Delhi - 110024, Near Lava Care"
Chimney Pure Veg,"""+(91)-9582440888""","JF 847, Gtb Enclave, Delhi - 110093, Near GTB Hospital, Dilshad Garden"
Kiara Soul Kitchen,"""+(91)-11-40367904""","M-30 1st Floor, Greater Kailash 2, Delhi - 110048, M Block Main Market"
Mota Ram De Chatpate,"""+(91)-9211925664""","Plot 79,, Pocket 10, Rohini Sector 20, Delhi - 110086, Sunday Bazar Road Royal Market"
Dawat Restaurant,"""+(91)-011-41447262""","C-2/9, Prashant Vihar, Delhi - 110085"
Pappu Di Hatti,"""+(91)-9971362165""","Shop No-C-2/11 12 13 14, Mangolpuri, Delhi - 110083, Dda Market"
Vaango,"""+(91)-124-4945923""","1St Floor,Cyber Hub,Food Court, Dlf Cyber City, Gurgaon - 122002"
Jhil Mil Food Point,"""+(91)-11-47023654""","Shop Number RZA-6, Palam Dabri Road, Dabri Extension, Delhi - 110045, Opposite Dada Dev Hospital"
